Jan 13 09:56:43.765 INFO node constructed, self.uid: 13
Jan 13 09:57:02.137 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 13
Jan 13 09:57:16.327 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 13
Jan 13 09:57:18.963 INFO update_trustworthiness_with, trustworthiness after this call: 0.6662506734759398, self.uid: 13
Jan 13 09:57:32.098 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 13
Jan 13 09:57:44.428 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 13
Jan 13 09:57:48.023 INFO update_trustworthiness_with, trustworthiness after this call: 0.5839092027723002, self.uid: 13
Jan 13 09:58:01.183 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 13
Jan 13 09:58:14.428 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 13
Jan 13 09:58:16.322 INFO update_trustworthiness_with, trustworthiness after this call: 0.546524365769773, self.uid: 13
Jan 13 09:58:29.416 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 13
Jan 13 09:58:41.984 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 13
Jan 13 09:58:43.634 INFO update_trustworthiness_with, trustworthiness after this call: 0.5300557634644522, self.uid: 13
Jan 13 09:58:56.710 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 13
Jan 13 09:59:06.119 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 13
Jan 13 09:59:10.339 INFO update_trustworthiness_with, trustworthiness after this call: 0.523610915091865, self.uid: 13
Jan 13 09:59:23.432 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 13
