Jan 12 23:08:21.085 INFO node constructed, self.uid: 74
Jan 12 23:10:10.082 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 74
Jan 12 23:10:28.569 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 74
Jan 12 23:10:40.701 INFO update_trustworthiness_with, trustworthiness after this call: 0.7602355762597526, self.uid: 74
Jan 12 23:12:23.741 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 74
Jan 12 23:12:45.282 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 74
Jan 12 23:12:53.330 INFO update_trustworthiness_with, trustworthiness after this call: 0.6513738196450419, self.uid: 74
Jan 12 23:14:35.985 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 74
Jan 12 23:14:51.709 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 74
Jan 12 23:15:05.646 INFO update_trustworthiness_with, trustworthiness after this call: 0.5866081749566914, self.uid: 74
Jan 12 23:16:48.551 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 74
Jan 12 23:17:01.642 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 74
Jan 12 23:17:18.158 INFO update_trustworthiness_with, trustworthiness after this call: 0.5494455996211508, self.uid: 74
Jan 12 23:19:01.175 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 74
Jan 12 23:19:17.585 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 74
Jan 12 23:19:30.849 INFO update_trustworthiness_with, trustworthiness after this call: 0.5282192816776108, self.uid: 74
Jan 12 23:21:13.762 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 74
Jan 12 23:21:23.873 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 74
Jan 12 23:21:43.137 INFO update_trustworthiness_with, trustworthiness after this call: 0.516104256492754, self.uid: 74
Jan 12 23:23:26.091 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 74
Jan 12 23:23:35.734 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 74
Jan 12 23:23:56.369 INFO update_trustworthiness_with, trustworthiness after this call: 0.5091903628515436, self.uid: 74
