Jan 12 23:08:21.087 INFO node constructed, self.uid: 66
Jan 12 23:08:53.236 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 66
Jan 12 23:10:21.367 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 66
Jan 12 23:10:40.665 INFO update_trustworthiness_with, trustworthiness after this call: 0.5836928089424069, self.uid: 66
Jan 12 23:11:07.579 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 66
Jan 12 23:12:40.642 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 66
Jan 12 23:12:53.302 INFO update_trustworthiness_with, trustworthiness after this call: 0.5444038358768507, self.uid: 66
Jan 12 23:13:20.151 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 66
Jan 12 23:14:54.315 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 66
Jan 12 23:15:05.619 INFO update_trustworthiness_with, trustworthiness after this call: 0.5251023165405385, self.uid: 66
Jan 12 23:15:32.535 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 66
Jan 12 23:17:09.560 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 66
Jan 12 23:17:18.131 INFO update_trustworthiness_with, trustworthiness after this call: 0.5143078975500531, self.uid: 66
Jan 12 23:17:45.059 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 66
Jan 12 23:19:10.561 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 66
Jan 12 23:19:30.820 INFO update_trustworthiness_with, trustworthiness after this call: 0.5081645466844702, self.uid: 66
Jan 12 23:19:57.702 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 66
Jan 12 23:21:26.761 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 66
Jan 12 23:21:43.110 INFO update_trustworthiness_with, trustworthiness after this call: 0.504659486329558, self.uid: 66
Jan 12 23:22:10.042 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 66
Jan 12 23:23:34.285 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 66
Jan 12 23:23:56.341 INFO update_trustworthiness_with, trustworthiness after this call: 0.5026591310918107, self.uid: 66
