Jan 12 23:08:21.095 INFO node constructed, self.uid: 10
Jan 12 23:08:58.057 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 10
Jan 12 23:10:21.075 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 10
Jan 12 23:10:40.669 INFO update_trustworthiness_with, trustworthiness after this call: 0.7203160575544888, self.uid: 10
Jan 12 23:11:12.322 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 10
Jan 12 23:12:32.165 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 10
Jan 12 23:12:53.304 INFO update_trustworthiness_with, trustworthiness after this call: 0.6270744186017948, self.uid: 10
Jan 12 23:13:24.860 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 10
Jan 12 23:14:58.153 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 10
Jan 12 23:15:05.621 INFO update_trustworthiness_with, trustworthiness after this call: 0.5724694513609457, self.uid: 10
Jan 12 23:15:37.273 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 10
Jan 12 23:16:56.792 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 10
Jan 12 23:17:18.133 INFO update_trustworthiness_with, trustworthiness after this call: 0.5413338410473849, self.uid: 10
Jan 12 23:17:49.807 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 10
Jan 12 23:19:12.146 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 10
Jan 12 23:19:30.823 INFO update_trustworthiness_with, trustworthiness after this call: 0.5235836708412669, self.uid: 10
Jan 12 23:20:02.447 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 10
Jan 12 23:21:27.742 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 10
Jan 12 23:21:43.112 INFO update_trustworthiness_with, trustworthiness after this call: 0.513457876077211, self.uid: 10
Jan 12 23:22:14.802 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 10
Jan 12 23:23:44.597 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 10
Jan 12 23:23:56.344 INFO update_trustworthiness_with, trustworthiness after this call: 0.5076799913277112, self.uid: 10
