Jan 12 23:08:21.075 INFO node constructed, self.uid: 98
Jan 12 23:09:24.797 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 98
Jan 12 23:10:32.206 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 98
Jan 12 23:10:40.681 INFO update_trustworthiness_with, trustworthiness after this call: 0.7247924473180077, self.uid: 98
Jan 12 23:11:38.670 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 98
Jan 12 23:12:40.192 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 98
Jan 12 23:12:53.314 INFO update_trustworthiness_with, trustworthiness after this call: 0.6270116011754704, self.uid: 98
Jan 12 23:13:51.182 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 98
Jan 12 23:14:50.568 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 98
Jan 12 23:15:05.631 INFO update_trustworthiness_with, trustworthiness after this call: 0.5723664660388859, self.uid: 98
Jan 12 23:16:03.712 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 98
Jan 12 23:17:08.577 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 98
Jan 12 23:17:18.143 INFO update_trustworthiness_with, trustworthiness after this call: 0.5412850314948697, self.uid: 98
Jan 12 23:18:16.176 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 98
Jan 12 23:19:22.153 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 98
Jan 12 23:19:30.833 INFO update_trustworthiness_with, trustworthiness after this call: 0.5235588475982171, self.uid: 98
Jan 12 23:20:28.888 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 98
Jan 12 23:21:29.572 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 98
Jan 12 23:21:43.122 INFO update_trustworthiness_with, trustworthiness after this call: 0.513444313985396, self.uid: 98
Jan 12 23:22:41.217 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 98
Jan 12 23:23:47.907 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 98
Jan 12 23:23:56.353 INFO update_trustworthiness_with, trustworthiness after this call: 0.507672360251106, self.uid: 98
