Jan 12 23:08:21.062 INFO node constructed, self.uid: 72
Jan 12 23:09:00.599 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 72
Jan 12 23:10:27.852 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 72
Jan 12 23:10:40.669 INFO update_trustworthiness_with, trustworthiness after this call: 0.7814720232143209, self.uid: 72
Jan 12 23:11:14.795 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 72
Jan 12 23:12:41.343 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 72
Jan 12 23:12:53.305 INFO update_trustworthiness_with, trustworthiness after this call: 0.6614203600739352, self.uid: 72
Jan 12 23:13:27.328 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 72
Jan 12 23:14:47.434 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 72
Jan 12 23:15:05.622 INFO update_trustworthiness_with, trustworthiness after this call: 0.5920552716313254, self.uid: 72
Jan 12 23:15:39.750 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 72
Jan 12 23:17:09.992 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 72
Jan 12 23:17:18.133 INFO update_trustworthiness_with, trustworthiness after this call: 0.5525164641073375, self.uid: 72
Jan 12 23:17:52.277 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 72
Jan 12 23:19:12.996 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 72
Jan 12 23:19:30.824 INFO update_trustworthiness_with, trustworthiness after this call: 0.5299668408376375, self.uid: 72
Jan 12 23:20:04.921 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 72
Jan 12 23:21:24.605 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 72
Jan 12 23:21:43.113 INFO update_trustworthiness_with, trustworthiness after this call: 0.5171009165302597, self.uid: 72
Jan 12 23:22:17.286 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 72
Jan 12 23:23:43.737 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 72
Jan 12 23:23:56.344 INFO update_trustworthiness_with, trustworthiness after this call: 0.5097590549848807, self.uid: 72
