Jan 13 02:04:05.738 INFO node constructed, self.uid: 62
Jan 13 02:04:52.553 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 62
Jan 13 02:06:07.391 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 62
Jan 13 02:06:23.897 INFO update_trustworthiness_with, trustworthiness after this call: 0.6227297453581214, self.uid: 62
Jan 13 02:07:05.602 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 62
Jan 13 02:08:17.876 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 62
Jan 13 02:08:34.083 INFO update_trustworthiness_with, trustworthiness after this call: 0.5652753638048481, self.uid: 62
Jan 13 02:09:15.778 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 62
Jan 13 02:11:21.866 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 62
Jan 13 02:13:25.191 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 62
