Jan 13 02:04:05.735 INFO node constructed, self.uid: 50
Jan 13 02:04:58.228 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 50
Jan 13 02:06:04.904 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 50
Jan 13 02:06:23.899 INFO update_trustworthiness_with, trustworthiness after this call: 0.7901546029628046, self.uid: 50
Jan 13 02:07:11.287 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 50
Jan 13 02:08:25.403 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 50
Jan 13 02:08:34.084 INFO update_trustworthiness_with, trustworthiness after this call: 0.662937118775243, self.uid: 50
Jan 13 02:09:21.466 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 50
Jan 13 02:10:28.498 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 50
Jan 13 02:10:40.260 INFO update_trustworthiness_with, trustworthiness after this call: 0.59927900693532, self.uid: 50
Jan 13 02:11:27.596 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 50
Jan 13 02:12:39.016 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 50
Jan 13 02:12:43.425 INFO update_trustworthiness_with, trustworthiness after this call: 0.5717796415610901, self.uid: 50
Jan 13 02:13:30.926 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 50
Jan 13 02:14:41.664 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 50
Jan 13 02:14:44.499 INFO update_trustworthiness_with, trustworthiness after this call: 0.5625818735107981, self.uid: 50
