Jan 13 02:04:05.723 INFO node constructed, self.uid: 37
Jan 13 02:04:17.318 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 37
Jan 13 02:06:15.787 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 37
Jan 13 02:06:23.879 INFO update_trustworthiness_with, trustworthiness after this call: 0.7585897599000331, self.uid: 37
Jan 13 02:06:30.509 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 37
Jan 13 02:08:26.941 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 37
Jan 13 02:08:34.069 INFO update_trustworthiness_with, trustworthiness after this call: 0.6405345725608622, self.uid: 37
Jan 13 02:08:40.717 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 37
Jan 13 02:10:46.849 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 37
Jan 13 02:12:50.058 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 37
