Jan 13 02:04:05.716 INFO node constructed, self.uid: 80
Jan 13 02:05:46.345 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 80
Jan 13 02:06:11.008 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 80
Jan 13 02:06:23.923 INFO update_trustworthiness_with, trustworthiness after this call: 0.806240703108964, self.uid: 80
Jan 13 02:07:59.301 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 80
Jan 13 02:08:26.109 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 80
Jan 13 02:08:34.100 INFO update_trustworthiness_with, trustworthiness after this call: 0.6751658322653576, self.uid: 80
Jan 13 02:10:09.497 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 80
Jan 13 02:10:27.686 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 80
Jan 13 02:10:40.273 INFO update_trustworthiness_with, trustworthiness after this call: 0.6047689909960665, self.uid: 80
Jan 13 02:12:15.651 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 80
Jan 13 02:12:36.550 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 80
Jan 13 02:12:43.438 INFO update_trustworthiness_with, trustworthiness after this call: 0.5727948285449148, self.uid: 80
Jan 13 02:14:18.867 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 80
Jan 13 02:14:35.351 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 80
Jan 13 02:14:44.508 INFO update_trustworthiness_with, trustworthiness after this call: 0.5604643051081577, self.uid: 80
