Jan 13 01:21:41.416 INFO node constructed, self.uid: 72
Jan 13 01:23:33.309 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 72
Jan 13 01:23:44.097 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 72
Jan 13 01:23:59.293 INFO update_trustworthiness_with, trustworthiness after this call: 0.7258556850205149, self.uid: 72
Jan 13 01:25:45.761 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 72
Jan 13 01:26:00.723 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 72
Jan 13 01:26:08.431 INFO update_trustworthiness_with, trustworthiness after this call: 0.6244400008953979, self.uid: 72
Jan 13 01:27:54.902 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 72
Jan 13 01:28:02.979 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 72
Jan 13 01:28:14.818 INFO update_trustworthiness_with, trustworthiness after this call: 0.575759547599782, self.uid: 72
Jan 13 01:30:01.414 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 72
Jan 13 01:30:13.479 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 72
Jan 13 01:30:20.193 INFO update_trustworthiness_with, trustworthiness after this call: 0.5525820216943405, self.uid: 72
Jan 13 01:32:06.890 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 72
Jan 13 01:32:18.591 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 72
Jan 13 01:32:23.279 INFO update_trustworthiness_with, trustworthiness after this call: 0.5429263092578979, self.uid: 72
Jan 13 01:34:09.838 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 72
Jan 13 01:34:19.419 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 72
Jan 13 01:34:25.289 INFO update_trustworthiness_with, trustworthiness after this call: 0.5392532397242907, self.uid: 72
