Jan 13 01:21:41.395 INFO node constructed, self.uid: 50
Jan 13 01:23:19.791 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 50
Jan 13 01:23:40.507 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 50
Jan 13 01:23:59.286 INFO update_trustworthiness_with, trustworthiness after this call: 0.7459202892762685, self.uid: 50
Jan 13 01:25:32.346 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 50
Jan 13 01:25:54.503 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 50
Jan 13 01:26:08.426 INFO update_trustworthiness_with, trustworthiness after this call: 0.6422417334372065, self.uid: 50
Jan 13 01:27:41.522 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 50
Jan 13 01:28:01.831 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 50
Jan 13 01:28:14.814 INFO update_trustworthiness_with, trustworthiness after this call: 0.5896996359751772, self.uid: 50
Jan 13 01:29:48.006 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 50
Jan 13 01:31:53.476 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 50
Jan 13 01:33:56.431 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 50
