Jan 13 08:58:10.415 INFO node constructed, self.uid: 33
Jan 13 08:58:43.448 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 33
Jan 13 08:59:22.621 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 33
Jan 13 08:59:28.632 INFO update_trustworthiness_with, trustworthiness after this call: 0.6903632283556859, self.uid: 33
Jan 13 08:59:56.446 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 33
Jan 13 09:00:34.130 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 33
Jan 13 09:00:38.899 INFO update_trustworthiness_with, trustworthiness after this call: 0.5965880698456433, self.uid: 33
Jan 13 09:01:06.793 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 33
Jan 13 09:01:39.818 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 33
Jan 13 09:01:47.011 INFO update_trustworthiness_with, trustworthiness after this call: 0.5596025144207408, self.uid: 33
Jan 13 09:02:14.849 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 33
Jan 13 09:02:48.482 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 33
Jan 13 09:02:54.638 INFO update_trustworthiness_with, trustworthiness after this call: 0.5455590892252957, self.uid: 33
Jan 13 09:03:22.455 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 33
