Jan 13 01:39:59.395 INFO node constructed, self.uid: 40
Jan 13 01:40:06.460 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 40
Jan 13 01:42:08.282 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 40
Jan 13 01:42:17.355 INFO update_trustworthiness_with, trustworthiness after this call: 0.6918493107186523, self.uid: 40
Jan 13 01:42:19.498 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 40
Jan 13 01:44:16.676 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 40
Jan 13 01:44:27.260 INFO update_trustworthiness_with, trustworthiness after this call: 0.604399992760705, self.uid: 40
Jan 13 01:44:29.388 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 40
Jan 13 01:46:36.452 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 40
Jan 13 01:48:40.044 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 40
Jan 13 01:50:42.672 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 40
