Jan 13 01:39:59.372 INFO node constructed, self.uid: 58
Jan 13 01:41:19.114 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 58
Jan 13 01:42:02.993 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 58
Jan 13 01:42:17.393 INFO update_trustworthiness_with, trustworthiness after this call: 0.6993106414470142, self.uid: 58
Jan 13 01:43:31.815 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 58
Jan 13 01:44:16.830 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 58
Jan 13 01:44:27.288 INFO update_trustworthiness_with, trustworthiness after this call: 0.6078451070051994, self.uid: 58
Jan 13 01:45:41.790 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 58
Jan 13 01:47:48.716 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 58
Jan 13 01:49:52.641 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 58
Jan 13 01:51:54.977 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 58
