Jan 13 01:39:59.395 INFO node constructed, self.uid: 52
Jan 13 01:41:03.488 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 52
Jan 13 01:42:09.989 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 52
Jan 13 01:42:17.386 INFO update_trustworthiness_with, trustworthiness after this call: 0.7001457921659258, self.uid: 52
Jan 13 01:43:16.293 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 52
Jan 13 01:44:15.366 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 52
Jan 13 01:44:27.283 INFO update_trustworthiness_with, trustworthiness after this call: 0.6067553472107389, self.uid: 52
Jan 13 01:45:26.182 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 52
Jan 13 01:46:24.865 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 52
Jan 13 01:46:34.342 INFO update_trustworthiness_with, trustworthiness after this call: 0.5622414882524844, self.uid: 52
Jan 13 01:47:33.215 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 52
Jan 13 01:48:25.571 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 52
Jan 13 01:48:37.947 INFO update_trustworthiness_with, trustworthiness after this call: 0.5426798741231753, self.uid: 52
Jan 13 01:49:36.982 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 52
Jan 13 01:51:39.438 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 52
