Jan 13 09:18:35.817 INFO node constructed, self.uid: 70
Jan 13 09:19:10.460 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 70
Jan 13 09:19:48.483 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 70
Jan 13 09:19:54.245 INFO update_trustworthiness_with, trustworthiness after this call: 0.6791293018469965, self.uid: 70
Jan 13 09:20:23.807 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 70
Jan 13 09:20:55.873 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 70
Jan 13 09:21:06.342 INFO update_trustworthiness_with, trustworthiness after this call: 0.5938462095398708, self.uid: 70
Jan 13 09:21:35.871 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 70
Jan 13 09:22:47.414 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 70
Jan 13 09:23:58.502 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 70
Jan 13 09:25:08.577 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 70
