cluster-id,latitude,longitude,latitude-std,longitude-std,report-num,range
130,37.768599120000026,-122.4202549333332,0.00047734562865810165,0.00020343555479510853,375.0,44.30785599713556
26,37.78216901960779,-122.44988696078423,0.00022065554999939205,0.0006166436745863454,306.0,55.92479788412308
63,37.74857125435538,-122.41615731707327,0.000232991704526776,0.00033067019329428794,287.0,34.54106362133484
36,37.773164062499994,-122.4186179910715,0.0005412906148347124,0.0005857990441280891,224.0,68.10654421794838
326,37.768666321243536,-122.41591222797929,0.00042001418678228963,0.0002551403001397737,193.0,41.96364599879678
34,37.78193391304347,-122.4011028804348,0.0003733263753889332,0.0005769714285276293,184.0,58.68154703132488
937,37.70190911392405,-122.48653253164568,0.00010145677594123879,0.0001927043103381429,158.0,18.59629305448602
276,37.78208993670888,-122.48459367088613,0.00011228658078221318,0.0005552819384063177,158.0,48.37524807865002
467,37.75555350746269,-122.4689791791045,0.00031170946918178275,0.00015563620829702864,134.0,29.75022678694693
23,37.78625283464566,-122.45654433070865,0.0004649080770008611,0.0009606137179709535,127.0,91.12830382424505
198,37.763632457627104,-122.45741144067796,0.000239436433903234,0.000490571401397036,118.0,46.6130945372907
280,37.758836,-122.4097535652174,0.0009445780641616159,0.00040200417059333766,115.0,87.6583592831463
135,37.77283739130433,-122.40633452173917,0.00014262013684154717,0.00011439576944574606,115.0,15.611873923023932
647,37.7784175925926,-122.4953542592593,6.915876858179276e-05,3.850485353141216e-05,108.0,6.759069718076786
524,37.743638207547164,-122.40125301886788,9.227079370464988e-05,0.0001201916708220432,106.0,12.93875116178296
95,37.761974095238095,-122.41770323809521,0.0006233897645414402,0.0006495331093008636,105.0,76.87509795792954
21,37.74309219047619,-122.4747523809524,0.0003566510386501282,0.001019654469954188,105.0,92.24077442878558
217,37.76364009708737,-122.47729145631064,0.0002016281529201361,0.0008369299731340614,103.0,73.51011259759258
44,37.7823447,-122.447388,0.000749470459523955,0.0002668900579455352,100.0,67.93397172959668
389,37.729882359550565,-122.40513146067413,0.0007611892944484259,0.0006878384300151595,89.0,87.60409956402187
181,37.71385045977013,-122.43602206896549,0.00010887274464140569,0.0001941237793238952,87.0,19.005235289658522
234,37.763824117647076,-122.41711211764705,0.00011980434563219453,8.335372299517317e-05,85.0,12.462530630896634
646,37.73225349397591,-122.40562277108435,0.00020817109364894198,0.00030001346820447044,83.0,31.181183073727418
399,37.782031578947354,-122.44283710526311,0.000551470888032783,0.00018743045493868965,76.0,49.73557506920858
58,37.779883026315794,-122.42929381578946,0.0001867334623569909,0.0006081621869350936,76.0,54.323788652663886
80,37.783938472222204,-122.45856930555559,0.0009035838811117114,0.0006072271922993766,72.0,92.9609949734801
161,37.76901760563381,-122.41318563380287,0.0005017810131040522,0.0003559684271512246,71.0,52.533778609677626
845,37.73450571428571,-122.41308871428573,7.149686177033239e-05,6.18769566474294e-05,70.0,8.074011255034746
137,37.7656312857143,-122.46451385714286,0.00032678017000024406,0.000637288851889432,70.0,61.155120969276076
46,37.77217521739129,-122.4408839130435,0.0004373402521639046,0.0010102987580738918,69.0,94.00543474235262
242,37.768495223880606,-122.43486791044779,0.00016001286130798954,0.00024802576426493776,67.0,25.20392502401848
189,37.73509075757577,-122.40450909090909,0.0005678876124040438,0.0002703543388428931,66.0,53.70669939213031
86,37.75552833333336,-122.40516227272731,0.00023839581393625197,8.986820186246415e-05,66.0,21.75499546253874
