time,latitude,longitude,id,cluster-id
1211317497,37.79203,-122.41086,abmuyawm,1
1211317687,37.79214,-122.41081,abmuyawm,1
1211317808,37.79231,-122.41078,abmuyawm,1
1211318052,37.79225,-122.41072,abmuyawm,1
1211319137,37.77226,-122.42315,abmuyawm,1
1211320753,37.78568,-122.40966,abmuyawm,1
1211320779,37.78568,-122.40966,abmuyawm,1
1211320903,37.78529,-122.41002,abmuyawm,1
1211337859,37.79976,-122.43747,abmuyawm,1
1211338819,37.79973,-122.40808,abmuyawm,1
1211338851,37.79973,-122.40807,abmuyawm,1
1211339030,37.79965,-122.40806,abmuyawm,1
1211339515,37.79204,-122.4108,abmuyawm,1
1211348345,37.78653,-122.43021,abmuyawm,1
1211348406,37.78654,-122.43024,abmuyawm,1
1211348492,37.78661,-122.43026,abmuyawm,1
1211348548,37.78665,-122.43028,abmuyawm,1
1211363179,37.7811,-122.45967,abmuyawm,24
1211364181,37.78538,-122.41803,abmuyawm,1
1211364442,37.78541,-122.41799,abmuyawm,1
1211364502,37.78538,-122.41798,abmuyawm,1
1211364802,37.78554,-122.41801,abmuyawm,1
1211364983,37.78554,-122.41803,abmuyawm,1
1211365043,37.78552,-122.41802,abmuyawm,1
1211365243,37.78555,-122.41802,abmuyawm,1
1211365605,37.78553,-122.41801,abmuyawm,1
1211365665,37.78552,-122.41801,abmuyawm,1
1211365680,37.78552,-122.41801,abmuyawm,1
1211365846,37.78551,-122.41797,abmuyawm,1
1211366762,37.78556,-122.41793,abmuyawm,1
1211386429,37.77273,-122.42511,abmuyawm,0
1211386456,37.77274,-122.42508,abmuyawm,0
1211398054,37.77018,-122.46692,abmuyawm,-1
1211399695,37.78955,-122.42899,abmuyawm,1
1211400328,37.78201,-122.45026,abmuyawm,26
1211400554,37.77935,-122.4417,abmuyawm,0
1211401127,37.78135,-122.46521,abmuyawm,27
1211401260,37.78283,-122.46765,abmuyawm,28
1211401366,37.78271,-122.46912,abmuyawm,29
1211401486,37.78268,-122.46924,abmuyawm,29
1211402664,37.77189,-122.44712,abmuyawm,4
1211403942,37.78887,-122.42688,abmuyawm,1
1211404844,37.73768,-122.408,abmuyawm,-1
1211410295,37.77949,-122.40145,abmuyawm,30
1211492886,37.75189,-122.43086,abmuyawm,31
1211493188,37.75511,-122.43771,abmuyawm,32
1211493546,37.76019,-122.43723,abmuyawm,33
1211494543,37.78209,-122.40224,abmuyawm,34
1211494980,37.79937,-122.40877,abmuyawm,1
1211495041,37.7994,-122.40877,abmuyawm,1
1211496541,37.78984,-122.41123,abmuyawm,1
1211497369,37.76563,-122.41167,abmuyawm,22
1211497393,37.76563,-122.41168,abmuyawm,22
1211497418,37.76562,-122.41168,abmuyawm,22
1211497670,37.76499,-122.42176,abmuyawm,18
1211498222,37.77306,-122.44619,abmuyawm,4
1211504754,37.75445,-122.40417,abmuyawm,35
1211505709,37.78922,-122.40383,abmuyawm,1
1211506015,37.79718,-122.40362,abmuyawm,1
1211507425,37.78624,-122.41479,abmuyawm,1
1211507740,37.79215,-122.40088,abmuyawm,1
1211507801,37.79265,-122.40334,abmuyawm,1
1211508185,37.79196,-122.41048,abmuyawm,1
1211508306,37.79685,-122.41353,abmuyawm,1
1211508328,37.79688,-122.41355,abmuyawm,1
1211509478,37.77357,-122.41812,abmuyawm,36
1211509800,37.75433,-122.4197,abmuyawm,-1
1211510606,37.78434,-122.42286,abmuyawm,1
1211510922,37.78957,-122.4199,abmuyawm,1
1211511083,37.78963,-122.41985,abmuyawm,1
1211511133,37.78963,-122.41983,abmuyawm,1
1211511313,37.7897,-122.41982,abmuyawm,1
1211511582,37.78975,-122.41959,abmuyawm,1
1211511788,37.78973,-122.41974,abmuyawm,1
1211511877,37.78871,-122.42032,abmuyawm,1
1211512413,37.79594,-122.42224,abmuyawm,1
1211512533,37.79982,-122.41075,abmuyawm,1
1211513090,37.79506,-122.4081,abmuyawm,1
1211513205,37.78748,-122.40668,abmuyawm,1
1211513599,37.72642,-122.40243,abmuyawm,37
1211514896,37.72736,-122.40226,abmuyawm,-1
1211517830,37.76802,-122.42417,abmuyawm,1
1211517890,37.76802,-122.42415,abmuyawm,1
1211524245,37.77896,-122.41521,abmuyawm,1
1211525220,37.76469,-122.43263,abmuyawm,9
1211526311,37.79865,-122.4358,abmuyawm,1
1211527959,37.79258,-122.40293,abmuyawm,1
1211530182,37.78136,-122.43275,abmuyawm,1
1211530206,37.78137,-122.43276,abmuyawm,1
1211530217,37.78137,-122.43276,abmuyawm,1
1211532502,37.73145,-122.45563,abmuyawm,38
1211532524,37.73146,-122.45563,abmuyawm,38
1211532556,37.73147,-122.45564,abmuyawm,38
1211532557,37.73147,-122.45564,abmuyawm,38
1211532731,37.73123,-122.44972,abmuyawm,39
1211537994,37.79926,-122.44261,abmuyawm,1
1211538406,37.79923,-122.44231,abmuyawm,1
1211538465,37.7992,-122.44231,abmuyawm,1
1211538888,37.79926,-122.44229,abmuyawm,1
1211543601,37.76629,-122.40924,abmuyawm,22
1211543833,37.76627,-122.40927,abmuyawm,22
1211543912,37.76628,-122.40927,abmuyawm,22
1211557982,37.7484,-122.40834,abmuyawm,40
1211559595,37.79051,-122.40507,abmuyawm,1
1211559813,37.78944,-122.40764,abmuyawm,1
1211560262,37.79051,-122.40392,abmuyawm,1
1211561805,37.78883,-122.41161,abmuyawm,1
1211562427,37.79066,-122.41924,abmuyawm,1
1211562824,37.78679,-122.40667,abmuyawm,1
1211563004,37.79069,-122.40351,abmuyawm,1
1211565059,37.78188,-122.40495,abmuyawm,1
1211565681,37.78293,-122.40949,abmuyawm,1
1211566009,37.77706,-122.41896,abmuyawm,1
1211566130,37.78353,-122.42273,abmuyawm,1
1211567229,37.78888,-122.4038,abmuyawm,1
1211568128,37.78189,-122.42047,abmuyawm,1
1211568249,37.78468,-122.42104,abmuyawm,1
1211571011,37.78106,-122.43913,abmuyawm,41
1211572022,37.77319,-122.44481,abmuyawm,-1
1211572321,37.78617,-122.44033,abmuyawm,41
1211572563,37.78962,-122.4134,abmuyawm,1
1211572873,37.79646,-122.40484,abmuyawm,1
1211574796,37.79873,-122.40782,abmuyawm,1
1211578614,37.79134,-122.40768,abmuyawm,1
1211580023,37.7959,-122.42242,abmuyawm,1
1211580635,37.79253,-122.43445,abmuyawm,1
1211580781,37.79095,-122.43251,abmuyawm,1
1211580985,37.78934,-122.42515,abmuyawm,1
1211583563,37.79032,-122.42242,abmuyawm,1
1211584152,37.79803,-122.41205,abmuyawm,1
1211585861,37.7774,-122.40466,abmuyawm,1
1211585985,37.77738,-122.40478,abmuyawm,1
1211602608,37.79092,-122.41051,abmuyawm,1
1211603024,37.78389,-122.43274,abmuyawm,1
1211603048,37.78389,-122.43274,abmuyawm,1
1211603079,37.78388,-122.43274,abmuyawm,1
1211603488,37.78484,-122.41776,abmuyawm,1
1211605117,37.76165,-122.44895,abmuyawm,42
1211606480,37.76532,-122.40797,abmuyawm,22
1211607073,37.78407,-122.41434,abmuyawm,1
1211607968,37.78849,-122.4102,abmuyawm,1
1211610769,37.77028,-122.40674,abmuyawm,43
1211611683,37.79083,-122.40877,abmuyawm,1
1211611734,37.79266,-122.40915,abmuyawm,1
1211611755,37.79266,-122.40915,abmuyawm,1
1211611972,37.78991,-122.41861,abmuyawm,1
1211612070,37.79061,-122.42063,abmuyawm,1
1211612834,37.7808,-122.44758,abmuyawm,44
1211613006,37.76811,-122.44492,abmuyawm,45
1211613365,37.77258,-122.44225,abmuyawm,46
1211613557,37.77482,-122.4245,abmuyawm,0
1211614213,37.78914,-122.42036,abmuyawm,1
1211614692,37.78049,-122.43236,abmuyawm,1
1211614872,37.77614,-122.44401,abmuyawm,4
1211615822,37.76907,-122.45178,abmuyawm,4
1211616698,37.7851,-122.41886,abmuyawm,1
1211616718,37.7851,-122.41886,abmuyawm,1
1211616913,37.78316,-122.41761,abmuyawm,1
1211618732,37.78756,-122.43361,abmuyawm,1
1211619206,37.77674,-122.43177,abmuyawm,0
1211619266,37.77674,-122.43177,abmuyawm,0
1211620127,37.76655,-122.43013,abmuyawm,9
1211620493,37.78193,-122.41074,abmuyawm,1
1211621701,37.78157,-122.417,abmuyawm,1
1211623958,37.78146,-122.41782,abmuyawm,-1
1211624340,37.7877,-122.40966,abmuyawm,1
1211625109,37.78769,-122.40999,abmuyawm,1
1211626504,37.79864,-122.44443,abmuyawm,1
1211626564,37.79865,-122.44444,abmuyawm,1
1211627432,37.79243,-122.46047,abmuyawm,-1
1211628412,37.78295,-122.40652,abmuyawm,1
