Jan 13 10:02:38.058 INFO node constructed, self.uid: 27
Jan 13 10:02:55.813 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 27
Jan 13 10:03:07.719 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 27
Jan 13 10:03:13.137 INFO update_trustworthiness_with, trustworthiness after this call: 0.6882007535225266, self.uid: 27
Jan 13 10:03:25.719 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 27
Jan 13 10:03:39.039 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 27
Jan 13 10:03:41.113 INFO update_trustworthiness_with, trustworthiness after this call: 0.6102158225315654, self.uid: 27
Jan 13 10:03:53.659 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 27
Jan 13 10:04:03.212 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 27
Jan 13 10:04:07.628 INFO update_trustworthiness_with, trustworthiness after this call: 0.5724505273552207, self.uid: 27
Jan 13 10:04:20.298 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 27
Jan 13 10:04:32.220 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 27
Jan 13 10:04:33.325 INFO update_trustworthiness_with, trustworthiness after this call: 0.5573418081749639, self.uid: 27
Jan 13 10:04:45.932 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 27
Jan 13 10:04:55.871 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 27
