Jan 13 03:01:27.956 INFO node constructed, self.uid: 41
Jan 13 03:01:38.162 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 41
Jan 13 03:03:30.510 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 41
Jan 13 03:03:46.605 INFO update_trustworthiness_with, trustworthiness after this call: 0.6617994917321278, self.uid: 41
Jan 13 03:03:51.816 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 41
Jan 13 03:05:38.175 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 41
Jan 13 03:05:52.455 INFO update_trustworthiness_with, trustworthiness after this call: 0.5833503389224293, self.uid: 41
Jan 13 03:05:57.657 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 41
Jan 13 03:07:44.326 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 41
Jan 13 03:07:52.566 INFO update_trustworthiness_with, trustworthiness after this call: 0.554627914788518, self.uid: 41
Jan 13 03:07:57.700 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 41
Jan 13 03:09:45.716 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 41
