Jan 13 03:01:27.960 INFO node constructed, self.uid: 49
Jan 13 03:02:58.087 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 49
Jan 13 03:03:26.416 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 49
Jan 13 03:03:46.641 INFO update_trustworthiness_with, trustworthiness after this call: 0.7509606189448529, self.uid: 49
Jan 13 03:05:11.489 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 49
Jan 13 03:05:46.980 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 49
Jan 13 03:05:52.483 INFO update_trustworthiness_with, trustworthiness after this call: 0.6312320340758306, self.uid: 49
Jan 13 03:07:17.384 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 49
Jan 13 03:07:50.110 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 49
Jan 13 03:07:52.581 INFO update_trustworthiness_with, trustworthiness after this call: 0.5795857699646657, self.uid: 49
Jan 13 03:09:17.252 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 49
Jan 13 03:09:45.855 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 49
