Jan 13 08:25:11.894 INFO node constructed, self.uid: 41
Jan 13 08:26:00.603 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 41
Jan 13 08:26:21.686 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 41
Jan 13 08:26:30.333 INFO update_trustworthiness_with, trustworthiness after this call: 0.7739675519456347, self.uid: 41
Jan 13 08:27:13.677 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 41
Jan 13 08:27:29.531 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 41
Jan 13 08:27:40.071 INFO update_trustworthiness_with, trustworthiness after this call: 0.6374154824169705, self.uid: 41
Jan 13 08:28:23.134 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 41
Jan 13 08:28:41.577 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 41
Jan 13 08:28:47.365 INFO update_trustworthiness_with, trustworthiness after this call: 0.5800702682293252, self.uid: 41
Jan 13 08:29:30.635 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 41
Jan 13 08:29:50.923 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 41
Jan 13 08:29:54.219 INFO update_trustworthiness_with, trustworthiness after this call: 0.5582547719958287, self.uid: 41
Jan 13 08:30:37.536 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 41
Jan 13 08:30:57.227 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 41
Jan 13 08:30:59.653 INFO update_trustworthiness_with, trustworthiness after this call: 0.5505061112321185, self.uid: 41
