Jan 13 09:42:52.475 INFO node constructed, self.uid: 10
Jan 13 09:43:11.748 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 10
Jan 13 09:43:23.779 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 10
Jan 13 09:43:27.627 INFO update_trustworthiness_with, trustworthiness after this call: 0.6684005515484482, self.uid: 10
Jan 13 09:43:41.695 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 10
Jan 13 09:43:54.924 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 10
Jan 13 09:43:56.736 INFO update_trustworthiness_with, trustworthiness after this call: 0.5936483460957026, self.uid: 10
Jan 13 09:44:10.818 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 10
Jan 13 09:44:20.884 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 10
Jan 13 09:44:25.328 INFO update_trustworthiness_with, trustworthiness after this call: 0.5563245470506485, self.uid: 10
Jan 13 09:44:39.553 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 10
Jan 13 09:44:50.390 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 10
Jan 13 09:44:53.728 INFO update_trustworthiness_with, trustworthiness after this call: 0.5377941006856787, self.uid: 10
Jan 13 09:45:07.862 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 10
Jan 13 09:45:20.473 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 10
Jan 13 09:45:22.234 INFO update_trustworthiness_with, trustworthiness after this call: 0.5289641722815227, self.uid: 10
Jan 13 09:45:36.393 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 10
Jan 13 09:45:47.546 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 10
Jan 13 09:45:50.325 INFO update_trustworthiness_with, trustworthiness after this call: 0.5247280906995976, self.uid: 10
