Jan 13 08:39:55.724 INFO node constructed, self.uid: 38
Jan 13 08:40:25.468 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 38
Jan 13 08:41:03.434 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 38
Jan 13 08:41:14.015 INFO update_trustworthiness_with, trustworthiness after this call: 0.6331266958062975, self.uid: 38
Jan 13 08:41:38.800 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 38
Jan 13 08:42:17.483 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 38
Jan 13 08:42:24.147 INFO update_trustworthiness_with, trustworthiness after this call: 0.5634095244837769, self.uid: 38
Jan 13 08:42:49.060 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 38
Jan 13 08:43:24.661 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 38
Jan 13 08:43:32.653 INFO update_trustworthiness_with, trustworthiness after this call: 0.5368339254883071, self.uid: 38
Jan 13 08:43:57.348 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 38
Jan 13 08:44:35.762 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 38
Jan 13 08:44:40.277 INFO update_trustworthiness_with, trustworthiness after this call: 0.5263256601897591, self.uid: 38
Jan 13 08:45:04.905 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 38
Jan 13 08:45:39.247 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 38
Jan 13 08:45:46.058 INFO update_trustworthiness_with, trustworthiness after this call: 0.522153145778857, self.uid: 38
