Jan 13 08:39:55.731 INFO node constructed, self.uid: 36
Jan 13 08:40:56.161 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 36
Jan 13 08:41:07.417 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 36
Jan 13 08:41:14.035 INFO update_trustworthiness_with, trustworthiness after this call: 0.6605167076618494, self.uid: 36
Jan 13 08:42:09.561 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 36
Jan 13 08:42:17.753 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 36
Jan 13 08:42:24.162 INFO update_trustworthiness_with, trustworthiness after this call: 0.5820214889447953, self.uid: 36
Jan 13 08:43:19.671 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 36
Jan 13 08:43:24.027 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 36
Jan 13 08:43:32.668 INFO update_trustworthiness_with, trustworthiness after this call: 0.5504536954380838, self.uid: 36
Jan 13 08:44:28.026 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 36
Jan 13 08:44:35.395 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 36
Jan 13 08:44:40.290 INFO update_trustworthiness_with, trustworthiness after this call: 0.5385396056568645, self.uid: 36
Jan 13 08:45:35.565 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 36
Jan 13 08:45:43.101 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 36
Jan 13 08:45:46.069 INFO update_trustworthiness_with, trustworthiness after this call: 0.5338232371139838, self.uid: 36
